# lat,lng,id,name,building_type,type,url,page_type
# San Sperate -- Tutti
39.356902,9.009411,ov_parafarmacia_da_marcella_e_anna_maria_39.3569_9.0094,Parafarmacia da Marcella e Anna Maria,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/san_sperate/pages/parafarmacia_da_marcella_e_anna_maria_39.3569_9.0094.json,custom
39.354780,9.009150,ov_circolomarisant_39.3548_9.0091,Circolomarisant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/san_sperate/pages/circolomarisant_39.3548_9.0091.json,custom
39.356210,9.008955,ov_pizzeria_da_sabry_39.3562_9.0090,Pizzeria Da Sabry,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/san_sperate/pages/pizzeria_da_sabry_39.3562_9.0090.json,custom
39.356462,9.004135,ov_bar_la_maschera_39.3565_9.0041,Bar La Maschera,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/san_sperate/pages/bar_la_maschera_39.3565_9.0041.json,custom
39.358632,9.005107,ov_al_salotto_bar_39.3586_9.0051,Al salotto Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/san_sperate/pages/al_salotto_bar_39.3586_9.0051.json,custom
39.358688,9.006401,ov_enoteca_mattana_maria_bonaria_39.3587_9.0064,Enoteca Mattana Maria Bonaria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/san_sperate/pages/enoteca_mattana_maria_bonaria_39.3587_9.0064.json,custom
39.360389,9.005958,ov_sonos_giardino_megalitico_39.3604_9.0060,SONOS Giardino Megalitico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/san_sperate/pages/sonos_giardino_megalitico_39.3604_9.0060.json,custom
39.352809,9.012380,ov_divino_caffe_39.3528_9.0124,Divino Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/san_sperate/pages/divino_caffe_39.3528_9.0124.json,custom
39.353273,9.012027,ov_la_bottega_del_bere_39.3533_9.0120,La Bottega Del Bere,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/san_sperate/pages/la_bottega_del_bere_39.3533_9.0120.json,custom
39.353550,9.011978,ov_chiosco_bar_stella_d_oro_39.3536_9.0120,Chiosco Bar Stella d'Oro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/san_sperate/pages/chiosco_bar_stella_doro_39.3536_9.0120.json,custom
39.355689,9.009478,ov_baloon_cafe_39.3557_9.0095,Baloon Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/san_sperate/pages/baloon_cafe_39.3557_9.0095.json,custom
39.357691,9.003994,ov_a_s_d_palestra_sciola_39.3577_9.0040,A.S.D Palestra Sciola,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/san_sperate/pages/asd_palestra_sciola_39.3577_9.0040.json,custom
39.358899,9.004305,ov_a_s_d__danzarte_39.3589_9.0043,a.s.d. Danzarte,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/san_sperate/pages/asd_danzarte_39.3589_9.0043.json,custom
39.351594,9.016180,ov_fitness_zone_39.3516_9.0162,Fitness Zone,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/san_sperate/pages/fitness_zone_39.3516_9.0162.json,custom
39.351501,9.013948,ov_saint_gym_39.3515_9.0139,Saint Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/san_sperate/pages/saint_gym_39.3515_9.0139.json,custom
39.341216,9.022920,ov_asd_freechoice_paintball_39.3412_9.0229,Asd Freechoice Paintball,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/san_sperate/pages/asd_freechoice_paintball_39.3412_9.0229.json,custom
39.357065,8.998844,ov_giardino_sonoro_39.3571_8.9988,Giardino Sonoro,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/san_sperate/pages/giardino_sonoro_39.3571_8.9988.json,custom
39.357619,9.001234,ov_casa_museo_del_maestro_d_arte_pinuccio_s_39.3576_9.0012,Casa Museo del Maestro d'Arte Pinuccio Sciola,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/san_sperate/pages/casa_museo_del_maestro_darte_pinuccio_sc_39.3576_9.0012.json,custom
39.360439,9.002178,ov_biblioteca_comunale_39.3604_9.0022,Biblioteca Comunale,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/san_sperate/pages/biblioteca_comunale_39.3604_9.0022.json,custom
