# lat,lng,id,name,building_type,type,url,page_type
# santa_margherita_ligure -- Tutti
44.336220,9.205390,ov_mog_easy_lunch_e_ristorante_44.3362_9.2054,Mog Easy Lunch e Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/mog_easy_lunch_e_ristorante_44.3362_9.2054.json,custom
44.336483,9.212891,ov_comoglio__ristorente_golfo_pradise_44.3365_9.2129,comoglio  ristorente golfo pradise,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/comoglio_ristorente_golfo_pradise_44.3365_9.2129.json,custom
44.336162,9.219794,ov_ristorante_novecento_44.3362_9.2198,Ristorante Novecento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/ristorante_novecento_44.3362_9.2198.json,custom
44.335864,9.219357,ov_puerto_de_portofino_44.3359_9.2194,Puerto De Portofino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/puerto_de_portofino_44.3359_9.2194.json,custom
44.335971,9.215557,ov_da_nello_44.3360_9.2156,Da Nello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/da_nello_44.3360_9.2156.json,custom
44.335893,9.215120,ov_reve_osteriacontemporanea_44.3359_9.2151,reve_osteriacontemporanea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/reveosteriacontemporanea_44.3359_9.2151.json,custom
44.335570,9.218921,ov_strainer_restaurant__portofino__italy_44.3356_9.2189,"Strainer Restaurant, Portofino, Italy",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/strainer_restaurant_portofino_italy_44.3356_9.2189.json,custom
44.335377,9.214582,ov_portofino_i_talya_44.3354_9.2146,"Portofino,İtalya",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/portofinoitalya_44.3354_9.2146.json,custom
44.335310,9.214062,ov_portofino_gourmet_44.3353_9.2141,Portofino Gourmet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/portofino_gourmet_44.3353_9.2141.json,custom
44.335287,9.212589,ov_molo_10_44.3353_9.2126,Molo 10,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/molo_10_44.3353_9.2126.json,custom
44.335240,9.214135,ov_bagni_central_44.3352_9.2141,Bagni Central,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/bagni_central_44.3352_9.2141.json,custom
44.335100,9.212045,ov_il_patio_44.3351_9.2120,Il Patio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/il_patio_44.3351_9.2120.json,custom
44.335028,9.211365,ov_delfino_44.3350_9.2114,Delfino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/delfino_44.3350_9.2114.json,custom
44.334981,9.211395,ov_angolo_48_44.3350_9.2114,Angolo 48,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/angolo_48_44.3350_9.2114.json,custom
44.334844,9.211719,ov_trattoria_da_pezzi_44.3348_9.2117,Trattoria da Pezzi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/trattoria_da_pezzi_44.3348_9.2117.json,custom
44.334908,9.211084,ov_ristorante_da_michele_44.3349_9.2111,Ristorante da Michele,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/ristorante_da_michele_44.3349_9.2111.json,custom
44.335227,9.211094,ov_ristorante_la_rosa_dei_venti_44.3352_9.2111,Ristorante La Rosa dei Venti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/ristorante_la_rosa_dei_venti_44.3352_9.2111.json,custom
44.335208,9.211432,ov_oca_bianca_44.3352_9.2114,Oca Bianca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/oca_bianca_44.3352_9.2114.json,custom
44.335860,9.212430,ov_da_adamo_44.3359_9.2124,DA ADAMO,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/da_adamo_44.3359_9.2124.json,custom
44.335880,9.212477,ov_pizzeria_kebab_cavaliere_44.3359_9.2125,Pizzeria Kebab Cavaliere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/pizzeria_kebab_cavaliere_44.3359_9.2125.json,custom
44.335797,9.213343,ov_grapes_44.3358_9.2133,Grapes,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/grapes_44.3358_9.2133.json,custom
44.335469,9.206787,ov_ristorante_pizzeria_dal_baffo_44.3355_9.2068,Ristorante Pizzeria dal Baffo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/ristorante_pizzeria_dal_baffo_44.3355_9.2068.json,custom
44.335648,9.202124,ov_pulcinella_di_tibello_raffaele_44.3356_9.2021,Pulcinella di Tibello Raffaele,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/pulcinella_di_tibello_raffaele_44.3356_9.2021.json,custom
44.335567,9.203891,ov_trattoria_san_siro_44.3356_9.2039,Trattoria San Siro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/trattoria_san_siro_44.3356_9.2039.json,custom
44.335610,9.203290,ov_ristorante_la_madia_44.3356_9.2033,Ristorante La Madia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/ristorante_la_madia_44.3356_9.2033.json,custom
44.335374,9.205034,ov_pizzeria_bada_bing_44.3354_9.2050,Pizzeria bada bing,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/pizzeria_bada_bing_44.3354_9.2050.json,custom
44.335244,9.209395,ov_spaghetteria_garibaldi_44.3352_9.2094,Spaghetteria Garibaldi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/spaghetteria_garibaldi_44.3352_9.2094.json,custom
44.335204,9.209016,ov_trattoria_il_bompresso_44.3352_9.2090,Trattoria Il Bompresso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/trattoria_il_bompresso_44.3352_9.2090.json,custom
44.335127,9.209028,ov_ristorante_karalis_44.3351_9.2090,Ristorante Karalis,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/ristorante_karalis_44.3351_9.2090.json,custom
44.333764,9.212735,ov_baicin_44.3338_9.2127,Baicin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/baicin_44.3338_9.2127.json,custom
44.334041,9.213359,ov_lo_spinnaker_44.3340_9.2134,Lo Spinnaker,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/lo_spinnaker_44.3340_9.2134.json,custom
44.334093,9.212015,ov_restaurant_cafe_antico_cedro_44.3341_9.2120,Restaurant Cafe Antico Cedro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/restaurant_cafe_antico_cedro_44.3341_9.2120.json,custom
44.334533,9.210994,ov_ducoq_44.3345_9.2110,DuCoq,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/ducoq_44.3345_9.2110.json,custom
44.334652,9.211068,ov_rafat_fathy_mohamed_nagy_44.3347_9.2111,Rafat Fathy Mohamed Nagy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/rafat_fathy_mohamed_nagy_44.3347_9.2111.json,custom
44.334738,9.211949,ov_ristorante_vineria_macchiavello_44.3347_9.2119,Ristorante Vineria Macchiavello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/ristorante_vineria_macchiavello_44.3347_9.2119.json,custom
44.334718,9.212118,ov_pasta_fresca_casazza_44.3347_9.2121,Pasta Fresca Casazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/pasta_fresca_casazza_44.3347_9.2121.json,custom
44.334604,9.211192,ov_le_arcate_44.3346_9.2112,Le Arcate,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/le_arcate_44.3346_9.2112.json,custom
44.334451,9.213350,ov_kicks_44.3345_9.2133,Kicks,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/kicks_44.3345_9.2133.json,custom
44.332987,9.212899,ov_a__creuza_du_gio_focacceria_44.3330_9.2129,A' Creuza du Gio Focacceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/a_creuza_du_gio_focacceria_44.3330_9.2129.json,custom
44.332982,9.213492,ov_a_santa_lucia_44.3330_9.2135,A Santa Lucia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/a_santa_lucia_44.3330_9.2135.json,custom
