# lat,lng,id,name,building_type,type,url,page_type
# follonica -- Tutti
42.645403,12.464738,ov_biblioteca_comunale_di_greve_in_chianti__42.6454_12.4647,Biblioteca Comunale di Greve in Chianti Carlo e Massimo Bald,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/biblioteca_comunale_di_greve_in_chianti__42.6454_12.4647.json,custom
42.933405,10.780800,ov_centro_baby_salus_42.9334_10.7808,Centro Baby Salus,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/centro_baby_salus_42.9334_10.7808.json,custom
42.921904,10.765637,ov_pronto_soccorso_follonica_42.9219_10.7656,Pronto Soccorso Follonica,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/pronto_soccorso_follonica_42.9219_10.7656.json,custom
42.918778,10.771817,ov_studio_medico_vigetti_mmg_e_medicina_est_42.9188_10.7718,Studio Medico Vigetti MMG e Medicina Estetica,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/studio_medico_vigetti_mmg_e_medicina_est_42.9188_10.7718.json,custom
42.917731,10.761724,ov_sox_ristorante_42.9177_10.7617,Sox Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/sox_ristorante_42.9177_10.7617.json,custom
42.917714,10.763467,ov_ristorante_pizzeria_il_triangolo_fratell_42.9177_10.7635,Ristorante Pizzeria Il Triangolo Fratelli Micheli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/ristorante_pizzeria_il_triangolo_fratell_42.9177_10.7635.json,custom
42.917941,10.761420,ov_tiburon_42.9179_10.7614,Tiburon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/tiburon_42.9179_10.7614.json,custom
42.918735,10.759090,ov_ristorante_cinese_follonica___kisoro_42.9187_10.7591,Ristorante Cinese Follonica - Kisoro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/ristorante_cinese_follonica_-_kisoro_42.9187_10.7591.json,custom
42.918142,10.762335,ov_da_marisa_42.9181_10.7623,Da Marisa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/da_marisa_42.9181_10.7623.json,custom
42.918200,10.762654,ov_officina_47_42.9182_10.7627,Officina 47,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/officina_47_42.9182_10.7627.json,custom
42.918264,10.762466,ov_la_bottega_42.9183_10.7625,La Bottega,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/la_bottega_42.9183_10.7625.json,custom
