# lat,lng,id,name,building_type,type,url,page_type
# Corbetta -- Tutti
45.474370,8.919190,ov_body_academy_45.4744_8.9192,Body academy,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/body_academy_45.4744_8.9192.json,custom
45.442447,8.911116,ov_cascina_santa_croce_45.4424_8.9111,Cascina Santa Croce,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/cascina_santa_croce_45.4424_8.9111.json,custom
45.446084,8.926389,ov_trattoria_annovazzi_45.4461_8.9264,Trattoria Annovazzi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/trattoria_annovazzi_45.4461_8.9264.json,custom
45.447135,8.938130,ov_la_locanda_degli_artisti_45.4471_8.9381,La Locanda Degli Artisti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/la_locanda_degli_artisti_45.4471_8.9381.json,custom
45.447602,8.937289,ov_da_giorgio_45.4476_8.9373,Da Giorgio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/da_giorgio_45.4476_8.9373.json,custom
45.447300,8.937789,ov_ristorandre_45.4473_8.9378,Ristorandre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/ristorandre_45.4473_8.9378.json,custom
45.478953,8.936450,ov_la_pobbia__pizzeria_ristorante__corbetta_45.4790_8.9365,La Pobbia. Pizzeria/ristorante. Corbetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/la_pobbia_pizzeriaristorante_corbetta_45.4790_8.9365.json,custom
45.474717,8.919735,ov_ristorante_huang_cheng_45.4747_8.9197,Ristorante Huang Cheng,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/ristorante_huang_cheng_45.4747_8.9197.json,custom
45.474698,8.919619,ov_pizzeria_da_antonio_sas_antonio_45.4747_8.9196,Pizzeria da Antonio SAS Antonio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/pizzeria_da_antonio_sas_antonio_45.4747_8.9196.json,custom
45.474689,8.919528,ov_huan_cheng_45.4747_8.9195,Huan Cheng,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/huan_cheng_45.4747_8.9195.json,custom
45.475842,8.924004,ov_il_mare_2_45.4758_8.9240,Il Mare 2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/il_mare_2_45.4758_8.9240.json,custom
45.475694,8.919202,ov_panta_rei_duepuntozero_45.4757_8.9192,Panta Rei Duepuntozero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/panta_rei_duepuntozero_45.4757_8.9192.json,custom
45.474184,8.942908,ov_essezeta_studio_professionale_di_cinzia__45.4742_8.9429,Essezeta Studio Professionale di Cinzia Zacheo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/essezeta_studio_professionale_di_cinzia__45.4742_8.9429.json,custom
45.473657,8.916977,ov_roadhouse_45.4737_8.9170,Roadhouse,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/roadhouse_45.4737_8.9170.json,custom
45.473662,8.916963,ov_billy_tacos_45.4737_8.9170,Billy Tacos,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/billy_tacos_45.4737_8.9170.json,custom
45.474160,8.918419,ov_la_nuvoletta_45.4742_8.9184,La Nuvoletta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/la_nuvoletta_45.4742_8.9184.json,custom
45.474518,8.920010,ov_il_cacciatore_di_esposito_lucia_e_c__45.4745_8.9200,Il cacciatore di Esposito Lucia e C.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/il_cacciatore_di_esposito_lucia_e_c_45.4745_8.9200.json,custom
45.471910,8.903000,ov_light_sushi_45.4719_8.9030,Light Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/light_sushi_45.4719_8.9030.json,custom
45.472317,8.912414,ov_sushi_club_corbetta_45.4723_8.9124,Sushi Club Corbetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/sushi_club_corbetta_45.4723_8.9124.json,custom
45.470563,8.912276,ov_pizzeria_roby_emy_45.4706_8.9123,Pizzeria Roby Emy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/pizzeria_roby_emy_45.4706_8.9123.json,custom
45.470720,8.909732,ov_ristorante_pizzeria_san_pietro_45.4707_8.9097,Ristorante pizzeria san pietro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/ristorante_pizzeria_san_pietro_45.4707_8.9097.json,custom
45.470096,8.915548,ov_al_noor_ristorante_grill_45.4701_8.9155,Al Noor Ristorante Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/al_noor_ristorante_grill_45.4701_8.9155.json,custom
45.469970,8.915930,ov_onda_latina_ristorante_45.4700_8.9159,Onda latina ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/onda_latina_ristorante_45.4700_8.9159.json,custom
45.468327,8.916098,ov_smile_45.4683_8.9161,Smile,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/smile_45.4683_8.9161.json,custom
