# lat,lng,id,name,building_type,type,url,page_type
# Volta Mantovana -- Tutti
45.326702,10.658697,ov_la_gustosa_45.3267_10.6587,La Gustosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/la_gustosa_45.3267_10.6587.json,custom
45.345888,10.658425,ov_agriturismo_corte_civa_45.3459_10.6584,Agriturismo Corte Civa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/agriturismo_corte_civa_45.3459_10.6584.json,custom
45.340020,10.664496,ov_la_sqola_ristorante_pizzeria_45.3400_10.6645,La Sqola Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/la_sqola_ristorante_pizzeria_45.3400_10.6645.json,custom
45.345248,10.674965,ov_pizzeria_trattoria_c_era_una_volta_45.3452_10.6750,Pizzeria Trattoria C'era una Volta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/pizzeria_trattoria_cera_una_volta_45.3452_10.6750.json,custom
45.326434,10.677374,ov_osteria_buonumore_45.3264_10.6774,Osteria Buonumore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/osteria_buonumore_45.3264_10.6774.json,custom
45.330132,10.690243,ov_agriturismo_nel_giardino_di_alice_45.3301_10.6902,Agriturismo Nel giardino di Alice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/agriturismo_nel_giardino_di_alice_45.3301_10.6902.json,custom
45.325883,10.685156,ov_agriturismo_corte_petacchi_45.3259_10.6852,Agriturismo Corte Petacchi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/agriturismo_corte_petacchi_45.3259_10.6852.json,custom
45.301162,10.712923,ov_da_rita_sul_mincio_45.3012_10.7129,Da Rita Sul Mincio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/da_rita_sul_mincio_45.3012_10.7129.json,custom
45.309032,10.700292,ov_ristorante_vecchio_mulino_45.3090_10.7003,Ristorante Vecchio Mulino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/ristorante_vecchio_mulino_45.3090_10.7003.json,custom
45.296329,10.708072,ov_agriturismo_bellaria_45.2963_10.7081,Agriturismo Bellaria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/agriturismo_bellaria_45.2963_10.7081.json,custom
45.293701,10.717192,ov_trattoria_la_fontana_45.2937_10.7172,Trattoria La Fontana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/trattoria_la_fontana_45.2937_10.7172.json,custom
45.322549,10.659361,osm_miramonti_pizzeria_ristorante_45.3225_10.6594,Miramonti Pizzeria Ristorante,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/miramonti_pizzeria_ristorante_45.3225_10.6594.json,custom
45.320661,10.659069,osm_enoteca_gonzaga_45.3207_10.6591,Enoteca Gonzaga,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/enoteca_gonzaga_45.3207_10.6591.json,custom
45.321576,10.659180,osm_trattoria_la_stangada_45.3216_10.6592,Trattoria La Stangada,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/trattoria_la_stangada_45.3216_10.6592.json,custom
45.321685,10.659707,osm_tam_tam_45.3217_10.6597,Tam Tam,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/tam_tam_45.3217_10.6597.json,custom
45.319912,10.668730,osm_me_gusta_45.3199_10.6687,Me Gusta,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/me_gusta_45.3199_10.6687.json,custom
