# lat,lng,id,name,building_type,type,url,page_type
# Fossa -- Tutti
42.297529,13.494291,ov_birrificio_anbra___anonima_brasseria_aqu_42.2975_13.4943,Birrificio Anbra - Anonima Brasseria Aquilana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/fossa/pages/birrificio_anbra_-_anonima_brasseria_aqu_42.2975_13.4943.json,custom
42.291643,13.482786,ov_castle_of_ocre_42.2916_13.4828,Castle of Ocre,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/fossa/pages/castle_of_ocre_42.2916_13.4828.json,custom
42.293058,13.486857,ov_castle_of_fossa_42.2931_13.4869,Castle of Fossa,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/fossa/pages/castle_of_fossa_42.2931_13.4869.json,custom
