# lat,lng,id,name,building_type,type,url,page_type
# Šempeter-Vrtojba -- Tutti
45.931890,13.640890,ov_splo_na_bolni_nica_dr__franca_derganca_n_45.9319_13.6409,Splošna bolnišnica dr. Franca Derganca Nova Gorica,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/empeter-vrtojba/pages/splona_bolninica_dr_franca_derganca_nova_45.9319_13.6409.json,custom
45.909774,13.633468,ov_gostilna_rutinca_45.9098_13.6335,Gostilna Rutinca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/empeter-vrtojba/pages/gostilna_rutinca_45.9098_13.6335.json,custom
45.920561,13.628083,ov_oriks_45.9206_13.6281,Oriks,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/empeter-vrtojba/pages/oriks_45.9206_13.6281.json,custom
45.920607,13.627800,ov_picerija_vrtojba_45.9206_13.6278,Picerija Vrtojba,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/empeter-vrtojba/pages/picerija_vrtojba_45.9206_13.6278.json,custom
45.920549,13.627870,ov_slovenian___italian_border_45.9205_13.6279,Slovenian - Italian Border,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/empeter-vrtojba/pages/slovenian_-_italian_border_45.9205_13.6279.json,custom
45.929429,13.641298,ov_pizza_julko_45.9294_13.6413,Pizza Julko,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/empeter-vrtojba/pages/pizza_julko_45.9294_13.6413.json,custom
45.926023,13.630640,ov_uni_bar_45.9260_13.6306,Uni Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/empeter-vrtojba/pages/uni_bar_45.9260_13.6306.json,custom
45.921466,13.637776,ov_kafetino_bar_45.9215_13.6378,Kafetino bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/empeter-vrtojba/pages/kafetino_bar_45.9215_13.6378.json,custom
45.933710,13.640492,ov_outbar_45.9337_13.6405,OutBar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/empeter-vrtojba/pages/outbar_45.9337_13.6405.json,custom
45.930403,13.639235,ov_pekarna_sla__i_arna_center_45.9304_13.6392,Pekarna Slaščičarna center,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/empeter-vrtojba/pages/pekarna_slaiarna_center_45.9304_13.6392.json,custom
45.928469,13.640591,ov_pivnica_45.9285_13.6406,Pivnica,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/empeter-vrtojba/pages/pivnica_45.9285_13.6406.json,custom
45.925595,13.635610,ov_hi_a_rekreacije_45.9256_13.6356,Hiša Rekreacije,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/empeter-vrtojba/pages/hia_rekreacije_45.9256_13.6356.json,custom
45.922140,13.635707,ov_golf__empeter_45.9221_13.6357,Golf Šempeter,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/empeter-vrtojba/pages/golf_empeter_45.9221_13.6357.json,custom
45.932564,13.646417,ov_plesni_studio_rebula_45.9326_13.6464,Plesni studio Rebula,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/empeter-vrtojba/pages/plesni_studio_rebula_45.9326_13.6464.json,custom
