# lat,lng,id,name,building_type,type,url,page_type
# San Michele di Serino -- Tutti
40.873871,14.842534,ov_azienda_ospedaliera_s__giuseppe_moscati_40.8739_14.8425,Azienda Ospedaliera S. Giuseppe Moscati,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_michele_di_serino/pages/azienda_ospedaliera_s_giuseppe_moscati_40.8739_14.8425.json,custom
40.875762,14.854372,ov_antica_pizzeria_da_rosa___dal_1980_40.8758_14.8544,Antica Pizzeria da Rosa - dal 1980,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_michele_di_serino/pages/antica_pizzeria_da_rosa_-_dal_1980_40.8758_14.8544.json,custom
40.876331,14.855419,ov_tavernetta_marinella_40.8763_14.8554,Tavernetta Marinella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_michele_di_serino/pages/tavernetta_marinella_40.8763_14.8554.json,custom
40.876500,14.846154,ov_ristorante_pizzeria_santa___johnny_40.8765_14.8462,Ristorante Pizzeria Santa & Johnny,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_michele_di_serino/pages/ristorante_pizzeria_santa_johnny_40.8765_14.8462.json,custom
40.875275,14.854078,ov_ristorante_pizzeria_apollo_40.8753_14.8541,Ristorante Pizzeria Apollo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_michele_di_serino/pages/ristorante_pizzeria_apollo_40.8753_14.8541.json,custom
40.875681,14.854464,ov_bar_sport_40.8757_14.8545,Bar Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_michele_di_serino/pages/bar_sport_40.8757_14.8545.json,custom
40.875650,14.854430,ov_sport_bistr__40.8757_14.8544,Sport Bistrò,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_michele_di_serino/pages/sport_bistr_40.8757_14.8544.json,custom
40.876295,14.855247,ov_bar_al_solito_posto_40.8763_14.8552,Bar Al Solito Posto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_michele_di_serino/pages/bar_al_solito_posto_40.8763_14.8552.json,custom
40.876793,14.855348,ov_pensiamoci_su_food___drink_40.8768_14.8553,Pensiamoci su Food & Drink,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_michele_di_serino/pages/pensiamoci_su_food_drink_40.8768_14.8553.json,custom
40.875002,14.852055,ov_autostrada_avellino_salerno_40.8750_14.8521,Autostrada Avellino Salerno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_michele_di_serino/pages/autostrada_avellino_salerno_40.8750_14.8521.json,custom
40.873520,14.852425,ov_villa_raiano_40.8735_14.8524,Villa Raiano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_michele_di_serino/pages/villa_raiano_40.8735_14.8524.json,custom
